#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ-321	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-321
NZ-322	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-322
NZ-323	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-323
NZ-324	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-324	Sponge	NZ-324
NZ-325	2017	Leucopsacidae	Leucopsacidae	Chaunoplectella n. sp.	Sponge	NZ-325
NZ-326	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-326	Sponge	NZ-326
NZ-337	2017	Pheronematidae	Pheronematidae	Poliopogon n. sp.	Sponge	NZ-337
NZ-338	2017	Rossellidae	Rossellidae	Caulophacus (Caulophacus) discohexactinus	Sponge	NZ-338
NZ-339	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-339
NZ-340	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-340	Sponge	NZ-340
NZ-341	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-341
NZ-342	2017	Rossellidae	Rossellidae	Caulophacus (Caulophacus) discohexaster	Sponge	NZ-342
NZ-343	2017	Rossellidae	Rossellidae	Caulophacus (Caulophacus) discohexaster	Sponge	NZ-343
NZ-345	2017	Farreidae	Farreidae	Farrea sp. 4	Sponge	NZ-345
NZ-346	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-346
NZ-347	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-347	Sponge	NZ-347
NZ-348	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-348	Sponge	NZ-348
NZ-349	2017	Aulocalycidae	Aulocalycidae	Aulocalyx serialis	Sponge	NZ-349
NZ-350	2017	Euplectellidae	Euplectellidae	Regadrella sp. 2	Sponge	NZ-350
NZ-006	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-006	Sponge	NZ-006
NZ-007	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-007	Sponge	NZ-007
NZ-026_2	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-026_2	Sponge	NZ-026_2
NZ-051	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-051	Sponge	NZ-051
NZ-052	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-052	Sponge	NZ-052
NZ-058	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-058	Sponge	NZ-058
NZ-059	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-059	Sponge	NZ-059
NZ-061	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-061	Sponge	NZ-061
NZ-064	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-064	Sponge	NZ-064
NZ-073	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-073	Sponge	NZ-073
NZ-109	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-109	Sponge	NZ-109
NZ-110	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-110	Sponge	NZ-110
NZ-111	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-111	Sponge	NZ-111
NZ-112	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-112	Sponge	NZ-112
NZ-113	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-113	Sponge	NZ-113
NZ-114	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-114	Sponge	NZ-114
NZ-115	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-115	Sponge	NZ-115
NZ-116	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-116	Sponge	NZ-116
NZ-117	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-117	Sponge	NZ-117
NZ-126	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-126
NZ-127	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-127	Sponge	NZ-127
NZ-131	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-131	Sponge	NZ-131
NZ-132	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-132	Sponge	NZ-132
NZ-134	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-134	Sponge	NZ-134
NZ-139	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-139	Sponge	NZ-139
NZ-140	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-140	Sponge	NZ-140
