#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ312	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-312	Sponge	NZ-312
NZ314	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-314	Sponge	NZ-314
NZ315	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-315
NZ316	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-316	Sponge	NZ-316
NZ317	2017	Leucopsacidae	Leucopsacidae	Leucopsacus distantus	Sponge	NZ-317
NZ318	2017	Aulocalycidae	Aulocalycidae	Aulocalyx n. sp.	Sponge	NZ-318
NZ319	2017	Rossellidae	Rossellidae	Lanuginellinae indet.	Sponge	NZ-319
NZ321	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-321
NZ322	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-322
NZ323	2017	Euplectellidae	Euplectellidae	Saccocalyx n. sp.	Sponge	NZ-323
NZ324	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-324	Sponge	NZ-324
NZ325	2017	Leucopsacidae	Leucopsacidae	Chaunoplectella n. sp.	Sponge	NZ-325
NZ326	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-326	Sponge	NZ-326
NZ337	2017	Pheronematidae	Pheronematidae	Poliopogon n. sp.	Sponge	NZ-337
NZ338	2017	Rossellidae	Rossellidae	Caulophacus (Caulophacus) discohexactinus	Sponge	NZ-338
NZ339	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-339
NZ340	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-340	Sponge	NZ-340
NZ341	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-341
NZ342	2017	Rossellidae	Rossellidae	Caulophacus (Caulophacus) discohexaster	Sponge	NZ-342
NZ343	2017	Rossellidae	Rossellidae	Caulophacus (Caulophacus) discohexaster	Sponge	NZ-343
NZ345	2017	Farreidae	Farreidae	Farrea sp. 4	Sponge	NZ-345
NZ346	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-346
NZ347	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-347	Sponge	NZ-347
NZ348	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-348	Sponge	NZ-348
NZ349	2017	Aulocalycidae	Aulocalycidae	Aulocalyx serialis	Sponge	NZ-349
NZ350	2017	Euplectellidae	Euplectellidae	Regadrella sp. 2	Sponge	NZ-350
NZ006	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-006	Sponge	NZ-006
NZ007	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-007	Sponge	NZ-007
NZ0262	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-026_2	Sponge	NZ-026_2
NZ051	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-051	Sponge	NZ-051
NZ052	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-052	Sponge	NZ-052
NZ058	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-058	Sponge	NZ-058
NZ059	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-059	Sponge	NZ-059
NZ061	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-061	Sponge	NZ-061
NZ064	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-064	Sponge	NZ-064
NZ073	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-073	Sponge	NZ-073
NZ109	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-109	Sponge	NZ-109
NZ110	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-110	Sponge	NZ-110
NZ111	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-111	Sponge	NZ-111
NZ112	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-112	Sponge	NZ-112
NZ113	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-113	Sponge	NZ-113
NZ114	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-114	Sponge	NZ-114
NZ115	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-115	Sponge	NZ-115
NZ116	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-116	Sponge	NZ-116
NZ117	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-117	Sponge	NZ-117
NZ126	2017	Euplectellidae	Euplectellidae	Bolosoma cyanae	Sponge	NZ-126
NZ127	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-127	Sponge	NZ-127
NZ131	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-131	Sponge	NZ-131
NZ132	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-132	Sponge	NZ-132
NZ134	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-134	Sponge	NZ-134
NZ139	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-139	Sponge	NZ-139
NZ140	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-140	Sponge	NZ-140
NZ1571	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-157_1	Sponge	NZ-157_1
NZ167	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-167	Sponge	NZ-167
NZ188	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-188	Sponge	NZ-188
NZ200	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-200	Sponge	NZ-200
NZ201	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-201	Sponge	NZ-201
NZ202	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-202	Sponge	NZ-202
NZ203	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-203	Sponge	NZ-203
NZ204	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-204	Sponge	NZ-204
NZ205	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-205	Sponge	NZ-205
NZ206	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-206	Sponge	NZ-206
NZ207	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-207	Sponge	NZ-207
NZ208	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-208	Sponge	NZ-208
NZ209	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-209	Sponge	NZ-209
NZ210	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-210	Sponge	NZ-210
NZ211	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-211	Sponge	NZ-211
NZ212	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-212	Sponge	NZ-212
NZ213	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-213	Sponge	NZ-213
NZ214	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-214	Sponge	NZ-214
NZ215	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-215	Sponge	NZ-215
NZ216	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-216	Sponge	NZ-216
NZ217	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-217	Sponge	NZ-217
